protocol_type,service,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate
1,45,1,0,0,229,0.04,0.06,10,0.04
1,45,1,0,0,136,0.01,0.06,1,0.0
1,19,9,12983,0,1,1.0,0.0,86,0.61
0,13,9,20,0,1,1.0,0.0,57,1.0
1,55,2,0,15,1,1.0,0.0,86,0.31
1,22,9,267,14515,4,1.0,0.0,255,1.0
1,49,9,1022,387,1,1.0,0.0,28,0.11
1,55,9,129,174,1,1.0,0.0,255,1.0
1,22,9,327,467,33,1.0,0.0,255,1.0
1,18,9,26,157,1,1.0,0.0,26,0.5
1,55,9,0,0,1,1.0,0.0,128,0.5
1,49,9,616,330,1,1.0,0.0,129,0.51
1,45,1,0,0,111,0.02,0.07,2,0.01
1,55,5,0,0,120,1.0,0.0,171,0.73
1,55,9,773,364200,1,1.0,0.0,73,0.16
1,22,9,350,3610,8,1.0,0.0,255,1.0
1,22,9,213,659,24,1.0,0.0,255,1.0
1,22,9,246,2090,16,1.0,0.0,255,1.0
2,45,9,45,44,505,1.0,0.0,255,1.0
1,45,1,0,0,204,0.09,0.07,18,0.07
1,28,1,0,0,118,0.16,0.05,19,0.07
1,43,5,0,0,1,1.0,0.0,87,0.34
1,22,9,196,1823,17,1.0,0.0,255,1.0
1,22,9,277,1816,17,1.0,0.0,255,1.0
1,5,1,0,0,116,0.07,0.07,8,0.03
1,9,2,0,0,273,0.05,0.06,13,0.05
1,22,9,294,6442,22,1.0,0.0,255,1.0
1,22,9,300,440,7,1.0,0.0,255,1.0
0,14,9,520,0,511,1.0,0.0,59,1.0
2,45,9,54,51,511,1.0,0.0,255,1.0
1,22,4,76944,1,12,1.0,0.0,238,0.99
1,49,9,720,281,1,1.0,0.0,82,0.52
1,22,9,301,19794,15,1.0,0.0,255,1.0
2,45,9,1,1,40,0.08,0.38,3,0.01
1,45,1,0,0,483,0.0,1.0,1,0.0
1,24,2,0,44,2,0.5,1.0,59,0.24
1,22,9,209,12894,11,1.0,0.0,255,1.0
1,18,9,220,688,1,1.0,0.0,27,0.51
2,11,9,43,71,113,1.0,0.0,254,1.0
1,19,9,88382,0,15,1.0,0.0,114,0.38
1,45,5,0,0,144,0.06,0.06,8,0.03
1,22,9,277,4968,13,1.0,0.0,255,1.0
1,22,9,321,2715,29,1.0,0.0,255,1.0
1,22,9,335,3228,49,1.0,0.0,255,1.0
1,31,1,0,0,266,0.03,0.06,8,0.03
1,22,9,234,3236,8,1.0,0.0,255,1.0
1,54,5,0,0,281,0.02,0.06,6,0.02
