protocol_type,service,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate
1,40,1,0,0,507,0.0,1.0,1,0.0
1,22,9,207,2628,10,1.0,0.0,255,1.0
1,55,8,0,44,2,0.5,1.0,143,0.56
1,22,9,227,840,35,1.0,0.0,255,1.0
0,14,9,1032,0,114,1.0,0.0,61,0.24
1,45,1,0,0,221,0.04,0.08,8,0.03
1,49,9,1680,338,1,1.0,0.0,130,0.51
2,11,9,45,137,151,1.0,0.0,254,1.0
1,55,9,127,174,2,1.0,0.0,208,0.82
1,22,9,213,12707,5,1.0,0.0,255,1.0
2,45,9,1,0,131,0.15,0.58,20,0.08
1,22,9,210,1359,13,1.0,0.0,255,1.0
1,40,1,0,0,511,0.0,1.0,1,0.0
0,13,9,40008,0,3,1.0,0.0,145,0.18
1,22,9,304,3441,22,1.0,0.0,255,1.0
1,45,5,0,0,123,0.13,0.07,16,0.06
1,22,1,0,0,11,0.91,0.18,10,0.04
1,22,9,54540,8314,4,1.0,0.0,243,0.95
2,45,9,54,55,511,1.0,0.0,255,1.0
2,45,9,105,146,1,1.0,0.0,57,1.0
1,22,9,294,32398,1,1.0,0.0,255,1.0
1,45,1,0,0,103,0.08,0.08,8,0.03
1,22,9,204,1762,17,1.0,0.0,255,1.0
1,55,9,0,15,1,1.0,0.0,64,0.25
2,45,9,1,0,75,0.03,0.68,2,0.01
1,45,5,0,0,173,0.08,0.09,14,0.05
1,22,1,0,0,21,0.43,0.19,57,0.22
1,45,1,0,0,444,0.0,1.0,1,0.0
1,55,9,121,174,1,1.0,0.0,77,0.3
2,45,9,49,49,2,1.0,0.0,255,1.0
1,22,9,207,3390,25,1.0,0.0,255,1.0
1,19,9,12241,0,8,1.0,0.0,98,0.41
1,45,1,0,0,105,0.08,0.07,8,0.03
1,45,1,0,0,102,0.05,0.06,5,0.02
2,45,9,105,105,1,1.0,0.0,253,0.99
0,13,9,20,0,1,1.0,0.0,105,1.0
1,22,9,243,389,3,1.0,0.0,255,1.0
1,55,9,4209,7872,1,1.0,0.0,1,0.01
1,22,9,352,834,11,1.0,0.0,255,1.0
1,45,1,0,0,102,0.19,0.06,19,0.07
2,11,9,43,126,85,1.0,0.0,255,1.0
1,45,1,0,0,291,0.07,0.06,19,0.07
1,52,1,0,0,1,1.0,0.0,29,0.11
0,14,9,1008,0,92,1.0,0.0,255,1.0
1,55,9,0,44,1,1.0,0.0,233,0.91
1,52,1,0,0,1,1.0,0.0,50,0.15
1,22,9,254,849,6,1.0,0.0,251,1.0
1,18,9,162,597,1,1.0,0.0,83,0.33
1,22,5,0,0,47,1.0,0.0,255,1.0
0,14,9,1008,0,218,1.0,0.0,255,1.0
1,22,9,263,247,1,1.0,0.0,251,0.98
1,24,5,0,0,1,1.0,0.0,85,0.34
1,43,9,30,93,2,0.5,1.0,251,0.98
1,49,9,2599,293,4,0.75,0.5,180,0.71
1,60,2,0,0,115,0.02,0.07,2,0.01
1,19,9,37,0,2,1.0,0.0,3,0.01
1,37,1,0,0,100,0.1,0.06,10,0.04
1,22,9,335,314,13,1.0,0.0,255,1.0
1,22,9,287,191,15,1.0,0.0,255,1.0
1,22,9,301,12300,3,1.0,0.0,255,1.0
1,40,1,0,0,444,0.0,1.0,1,0.0
1,60,2,0,0,120,0.03,0.06,3,0.01
1,22,5,0,0,97,1.0,0.0,255,1.0
1,45,1,0,0,283,0.05,0.06,13,0.05
1,22,9,294,6442,22,1.0,0.0,255,1.0
1,19,9,11,0,2,1.0,0.0,4,0.02
1,19,9,383,0,1,1.0,0.0,67,0.45
1,22,5,0,0,36,1.0,0.0,255,1.0
1,22,9,233,321,3,1.0,0.0,255,1.0
